Classement de fréquence,Lexème,Orthographe standard (dans les journaux),Lecture standard (en Hiragana),Nature
27798,言外,言外,げんがい,名詞-普通名詞-一般
27798,鉋,かんな,かんな,名詞-普通名詞-一般
27798,中段,中段,ちゅうだん,名詞-普通名詞-一般
27798,逝去,逝去,せいきょ,名詞-普通名詞-サ変可能
27798,白昼,白昼,はくちゅう,名詞-普通名詞-一般
27798,祝辞,祝辞,しゅくじ,名詞-普通名詞-一般
27798,論客,論客,ろんかく,名詞-普通名詞-一般
27798,公人,公人,こうじん,名詞-普通名詞-一般
27798,金目,金目,かねめ,名詞-普通名詞-一般
27798,赤土,赤土,あかつち,名詞-普通名詞-一般
27798,古物,古物,こぶつ,名詞-普通名詞-一般
27798,消沈,消沈,しょうちん,名詞-普通名詞-サ変可能
27798,川底,川底,かわぞこ,名詞-普通名詞-一般
27798,防弾,防弾,ぼうだん,名詞-普通名詞-一般
27798,マニ,摩尼,まに,名詞-普通名詞-一般
27798,バイリンガル,バイリンガル,ばいりんがる,名詞-普通名詞-一般
27798,だま,だま,だま,名詞-普通名詞-一般
27798,砂嵐,砂嵐,すなあらし,名詞-普通名詞-一般
27798,自戒,自戒,じかい,名詞-普通名詞-サ変可能
27798,堅気,模,かたぎ,名詞-普通名詞-形状詞可能
27798,手指,手指,しゅし,名詞-普通名詞-一般
27798,チック,チック,ちっく,接尾辞-形状詞的
27798,孫娘,孫娘,まごむすめ,名詞-普通名詞-一般
27798,不実,不実,ふじつ,名詞-普通名詞-形状詞可能
27798,国情,国情,こくじょう,名詞-普通名詞-一般
27798,東岸,東岸,とうがん,名詞-普通名詞-一般
27798,全幅,全幅,ぜんぷく,名詞-普通名詞-一般
27798,数え年,数え年,かぞえどし,名詞-普通名詞-一般
27798,破れ,破れ,やぶれ,名詞-普通名詞-一般
27798,幼名,幼名,ようめい,名詞-普通名詞-一般
27798,四男,#N/D,,名詞-普通名詞-一般
27798,独白,独白,どくはく,名詞-普通名詞-サ変可能
27798,教区,教区,きょうく,名詞-普通名詞-一般
27798,ぷう,ぷう,ぷう,副詞
27798,遣り口,やり口,やりくち,名詞-普通名詞-一般
27798,艦砲,艦砲,かんぽう,名詞-普通名詞-一般
27798,勇士,勇士,ゆうし,名詞-普通名詞-一般
27798,ピック,ピック,ぴっく,名詞-普通名詞-一般
27798,別棟,別棟,べっとう,名詞-普通名詞-一般
27798,とろとろ,とろとろ,とろとろ,副詞
27798,風雅,風雅,ふうが,名詞-普通名詞-形状詞可能
27798,シング■thing,寝具,しんぐ,名詞-普通名詞-一般
27798,ねばねば,ネバネバ,ねばねば,副詞
27798,焦土,焦土,しょうど,名詞-普通名詞-一般
27798,心肺,心肺,しんぱい,名詞-普通名詞-一般
27798,べらべら,ベラベラ,べらべら,副詞
27798,川魚,#N/D,,名詞-普通名詞-一般
27798,ステレオタイプ,ステレオタイプ,すてれおたいぷ,名詞-普通名詞-一般
27798,濃紺,濃紺,のうこん,名詞-普通名詞-一般
27798,疾駆,疾駆,しっく,名詞-普通名詞-サ変可能
27798,大風,#N/D,,名詞-普通名詞-一般
27798,外向,外向,がいこう,名詞-普通名詞-一般
27798,帰り掛け,帰りがけ,かえりがけ,名詞-普通名詞-一般
27798,遣り場,やり場,やりば,名詞-普通名詞-一般
27798,豪奢,豪奢,ごうしゃ,名詞-普通名詞-形状詞可能
27798,桃花,桃花,とうか,名詞-普通名詞-一般
27798,ガイザー,ガイザー,,名詞-普通名詞-一般
27798,呼び声,呼び声,よびごえ,名詞-普通名詞-一般
27798,エナメル,エナメル,えなめる,名詞-普通名詞-一般
27798,トラクター,トラクター,とらくたー,名詞-普通名詞-一般
27798,里子,里子,さとご,名詞-普通名詞-一般
27798,風下,風下,かざしも,名詞-普通名詞-一般
27798,軛,くびき,くびき,名詞-普通名詞-一般
27798,カスタマー,カスタマー,かすたまー,名詞-普通名詞-一般
27798,本省,本省,ほんしょう,名詞-普通名詞-一般
27798,声援,声援,せいえん,名詞-普通名詞-サ変可能
27798,でっぷり,でっぷり,でっぷり,副詞
27798,奇兵,奇兵,きへい,名詞-普通名詞-一般
27798,出金,出金,しゅっきん,名詞-普通名詞-サ変可能
27798,声楽,声楽,せいがく,名詞-普通名詞-一般
27798,湯屋,湯屋,ゆや,名詞-普通名詞-一般
27798,販路,販路,はんろ,名詞-普通名詞-一般
27798,常食,常食,じょうしょく,名詞-普通名詞-サ変可能
27798,嗣子,嗣子,しし,名詞-普通名詞-一般
27798,桟,＊,さん,名詞-普通名詞-一般
27798,煌めき,きらめき,きらめき,名詞-普通名詞-一般
27798,利発,利発,りはつ,名詞-普通名詞-形状詞可能
27798,臭み,臭み,くさみ,名詞-普通名詞-一般
27798,陰惨,陰惨,いんさん,名詞-普通名詞-形状詞可能
27798,地肌,地肌,じはだ,名詞-普通名詞-一般
27798,ファクトリー,ファクトリー,ふぁくとりー,名詞-普通名詞-一般
27798,キャビネット,キャビネット,きゃびねっと,名詞-普通名詞-一般
27798,メディカル,メディカル,めでぃかる,名詞-普通名詞-一般
27798,縦糸,縦糸,たていと,名詞-普通名詞-一般
27798,石像,石像,せきぞう,名詞-普通名詞-一般
27798,高邁,高邁,こうまい,名詞-普通名詞-形状詞可能
27798,喪主,喪主,もしゅ,名詞-普通名詞-一般
27798,握力,握力,あくりょく,名詞-普通名詞-一般
27798,妙見,妙見,みょうけん,名詞-普通名詞-一般
27798,雄々しい,雄々しい,おおしい,形容詞-一般
27798,採録,採録,さいろく,名詞-普通名詞-サ変可能
27798,ｌｏ,ＬＯ,えるおー,名詞-普通名詞-一般
27798,部将,部将,ぶしょう,名詞-普通名詞-一般
27798,ジッパー,ジッパー,じっぱー,名詞-普通名詞-一般
27798,会葬,会葬,かいそう,名詞-普通名詞-サ変可能
27798,疎水,疎水,そすい,名詞-普通名詞-一般
27798,リベート,リベート,りべーと,名詞-普通名詞-一般
27798,馬丁,馬丁,ばてい,名詞-普通名詞-一般
27798,先任,先任,せんにん,名詞-普通名詞-一般
27798,物売り,物売り,ものうり,名詞-普通名詞-一般
27798,逍遥,＊,しょうよう,名詞-普通名詞-サ変可能
27798,正大,正大,せいだい,形状詞-一般
27798,不躾,不躾,ぶしつけ,名詞-普通名詞-形状詞可能
27798,ならず者,ならず者,ならずもの,名詞-普通名詞-一般
27798,玉石,#N/D,,名詞-普通名詞-一般
27798,独り身,独り身,ひとりみ,名詞-普通名詞-一般
27798,チャペル,チャペル,ちゃぺる,名詞-普通名詞-一般
27798,リュ,リュ,,名詞-普通名詞-一般
27798,火縄,火縄,ひなわ,名詞-普通名詞-一般
27798,ダッシュ,奪取,だっしゅ,名詞-普通名詞-一般
27798,興産,興産,こうさん,名詞-普通名詞-一般
27798,刺,し,し,名詞-普通名詞-一般
27798,連座,連座,れんざ,名詞-普通名詞-サ変可能
27798,焼き魚,焼き魚,やきざかな,名詞-普通名詞-一般
27798,諫言,＊,かんげん,名詞-普通名詞-サ変可能
27798,コンパートメント,コンパートメント,こんぱーとめんと,名詞-普通名詞-一般
27798,寓話,寓話,ぐうわ,名詞-普通名詞-一般
27798,都督,ととく,ととく,名詞-普通名詞-サ変可能
27798,堂内,堂内,どうない,名詞-普通名詞-一般
27798,大泣き,大泣き,おおなき,名詞-普通名詞-サ変可能
27798,冷やかし,冷やかし,ひやかし,名詞-普通名詞-一般
27798,ジョッキ,ジョッキ,じょっき,名詞-普通名詞-一般
27798,悦楽,悦楽,えつらく,名詞-普通名詞-サ変可能
27798,急落,急落,きゅうらく,名詞-普通名詞-サ変可能
27798,払い下げ,払い下げ,はらいさげ,名詞-普通名詞-一般
27798,在外,在外,ざいがい,名詞-普通名詞-一般
27798,教説,教説,きょうせつ,名詞-普通名詞-一般
27798,身請け,身請け,みうけ,名詞-普通名詞-一般
27798,ダイバー,ダイバー,だいばー,名詞-普通名詞-一般
27798,託児,託児,たくじ,名詞-普通名詞-一般
27798,籾,モミ,もみ,名詞-普通名詞-一般
27798,寄託,寄託,きたく,名詞-普通名詞-サ変可能
27798,グリ,繰り,ぐり,名詞-普通名詞-一般
27798,ガバメント,ガバメント,がばめんと,名詞-普通名詞-一般
27798,里山,里山,さとやま,名詞-普通名詞-一般
27798,大権,大権,たいけん,名詞-普通名詞-一般
27798,罅割れ,ひび割れ,ひびわれ,名詞-普通名詞-サ変可能
27798,遠浅,遠浅,とおあさ,名詞-普通名詞-一般
27798,海馬,海馬,かいば,名詞-普通名詞-一般
27798,闘牛,闘牛,とうぎゅう,名詞-普通名詞-一般
27798,ふうっと,#N/D,,副詞
27798,転封,転封,てんぽう,名詞-普通名詞-サ変可能
27798,留任,留任,りゅうにん,名詞-普通名詞-サ変可能
27798,半熟,半熟,はんじゅく,名詞-普通名詞-一般
27798,講武,講武,こうぶ,名詞-普通名詞-一般
27798,両党,両党,りょうとう,名詞-普通名詞-一般
27798,姫御子,ひめみこ,ひめみこ,名詞-普通名詞-一般
27798,本則,本則,ほんそく,名詞-普通名詞-一般
27798,利他,リタ,りた,名詞-普通名詞-一般
27798,コネクター,コネクター,こねくたー,名詞-普通名詞-一般
27798,側頭,側頭,そくとう,名詞-普通名詞-一般
27798,合板,合板,ごうはん,名詞-普通名詞-一般
27798,老臣,老臣,ろうしん,名詞-普通名詞-一般
27798,疱瘡,＊,ほうそう,名詞-普通名詞-一般
27798,外様,外様,とざま,名詞-普通名詞-一般
27798,鼠色,ねずみ色,ねずみいろ,名詞-普通名詞-一般
27798,一眼,一眼,いちがん,名詞-普通名詞-一般
27798,歌曲,歌曲,かきょく,名詞-普通名詞-一般
27798,もぞもぞ,もぞもぞ,もぞもぞ,副詞
27798,託宣,託宣,たくせん,名詞-普通名詞-一般
27798,ロキ,ロキ,,名詞-普通名詞-一般
27798,在韓,在韓,ざいかん,名詞-普通名詞-一般
27798,連覇,連覇,れんぱ,名詞-普通名詞-サ変可能
27798,初音,初値,はつね,名詞-普通名詞-一般
27798,フィッシング■phishing,フィッシング,ふぃっしんぐ,名詞-普通名詞-一般
27798,特措,#N/D,,名詞-普通名詞-一般
27798,青黒い,青黒い,あおぐろい,形容詞-一般
27798,気泡,気泡,きほう,名詞-普通名詞-一般
27798,店側,#N/D,,名詞-普通名詞-一般
27798,神的,神的,しんてき,形状詞-一般
27798,陸運,陸運,りくうん,名詞-普通名詞-一般
27798,デコ,デコ,でこ,名詞-普通名詞-一般
27798,原画,原画,げんが,名詞-普通名詞-一般
27798,照葉,照葉,しょうよう,名詞-普通名詞-一般
27798,アウェー,アウェー,,名詞-普通名詞-一般
27798,河馬,カバ,かば,名詞-普通名詞-一般
27798,クロワッサン,クロワッサン,くろわっさん,名詞-普通名詞-一般
27798,御結び,おむすび,おむすび,名詞-普通名詞-一般
27798,良性,良性,りょうせい,名詞-普通名詞-一般
27798,薄め,薄め,うすめ,形状詞-一般
27798,揃え,そろえ,そろえ,名詞-普通名詞-一般
27798,野人,野人,やじん,名詞-普通名詞-一般
27798,ストール■stall,ストール,すとーる,名詞-普通名詞-一般
27798,汗かき,汗かき,あせかき,名詞-普通名詞-形状詞可能
27798,ごくりと,#N/D,,副詞
27798,膣口,#N/D,,名詞-普通名詞-一般
27798,穀類,穀類,こくるい,名詞-普通名詞-一般
27798,カミング,カミング,,名詞-普通名詞-一般
27798,全室,#N/D,,名詞-普通名詞-一般
27798,激安,#N/D,,名詞-普通名詞-一般
27798,大殿,大殿,おおとの,名詞-普通名詞-一般
27798,綿糸,綿糸,めんし,名詞-普通名詞-一般
27798,入管,入管,にゅうかん,名詞-普通名詞-一般
27798,饗,饗,きょう,名詞-普通名詞-一般
27798,埴,羽仁,はに,名詞-普通名詞-一般
27798,小字,#N/D,,名詞-普通名詞-一般
27798,和親,和親,わしん,名詞-普通名詞-一般
27798,設例,設例,せつれい,名詞-普通名詞-一般
27798,用益,用益,ようえき,名詞-普通名詞-一般
27798,根菜,根菜,こんさい,名詞-普通名詞-一般
27798,カトリシズム,カトリシズム,かとりしずむ,名詞-普通名詞-一般
27798,青柳,青柳,あおやぎ,名詞-普通名詞-一般
27798,製錬,製錬,せいれん,名詞-普通名詞-サ変可能
27798,存否,存否,そんぴ,名詞-普通名詞-一般
27798,アコード,アコード,あこーど,名詞-普通名詞-一般
27798,報償,報償,ほうしょう,名詞-普通名詞-サ変可能
27798,呪力,呪力,じゅりょく,名詞-普通名詞-一般
27798,無宿,無宿,むしゅく,名詞-普通名詞-一般
27798,茶事,茶事,ちゃじ,名詞-普通名詞-サ変可能
27798,抜け毛,脱毛,ぬけげ,名詞-普通名詞-一般
27798,球菌,球菌,きゅうきん,名詞-普通名詞-一般
27798,薄力,#N/D,,名詞-普通名詞-一般
27798,ライチー,ライチー,らいちー,名詞-普通名詞-一般
27798,結膜,結膜,けつまく,名詞-普通名詞-一般
27798,菌類,菌類,きんるい,名詞-普通名詞-一般
27798,ｔｃｐ,ＴＣＰ,,名詞-普通名詞-一般
27798,ｃｏｏｋｉｅ,cookie,,名詞-普通名詞-一般
27798,虎尾,虎尾,こび,名詞-普通名詞-一般
27798,衽,#N/D,,名詞-普通名詞-一般
27798,ヾ,0,,補助記号-一般
27798,ウタリ,ウタリ,うたり,名詞-普通名詞-一般
27798,参究,参究,さんきゅう,名詞-普通名詞-サ変可能
27798,内湯,内湯,うちゆ,名詞-普通名詞-一般
27798,清音,清音,せいおん,名詞-普通名詞-一般
27798,産直,産直,さんちょく,名詞-普通名詞-一般
27798,ｒａｔｉｎｇ,rating,,名詞-普通名詞-一般
27798,胸腔,胸腔,きょうこう,名詞-普通名詞-一般
27798,計らう,はからう,はからう,動詞-一般
27798,選りすぐる,えりすぐる,えりすぐる,動詞-一般
27798,迫り上がる,せり上がる,せりあがる,動詞-一般
27798,棚引く,たなびく,たなびく,動詞-一般
27798,屠る,ほふる,ほふる,動詞-一般
27798,臥す,付す,ふす,動詞-一般
27798,勢い込む,勢いこむ,いきおいこむ,動詞-一般
27798,祝する,宿する,しゅくする,動詞-一般
27798,炊き上がる,炊き上がる,たきあがる,動詞-一般
27798,書き下ろす,書き下ろす,かきおろす,動詞-一般
27798,眺め遣る,眺めやる,ながめやる,動詞-一般
27798,蒸らす,蒸らす,むらす,動詞-一般
27798,言い置く,言い置く,いいおく,動詞-一般
27798,打ち上がる,打ち上がる,うちあがる,動詞-一般
28238,騙し取る,だましとる,だましとる,動詞-一般
28238,突っ撥ねる,突っぱねる,つっぱねる,動詞-一般
28238,表立つ,表立つ,おもてだつ,動詞-一般
28238,放く,国,こく,動詞-一般
28238,こじる,こじる,こじる,動詞-一般
28238,生る,なる,なる,動詞-一般
28238,書かす,欠かす,かかす,動詞-一般
28238,銘打つ,銘打つ,めいうつ,動詞-一般
28238,捻り出す,ひねり出す,ひねりだす,動詞-一般
28238,誘い込む,誘い込む,さそいこむ,動詞-一般
28238,吹き荒ぶ,吹き荒ぶ,ふきすさぶ,動詞-一般
28238,行き当たる,いきあたる,いきあたる,動詞-一般
28238,引き立つ,引き立つ,ひきたつ,動詞-一般
28238,焼べる,くべる,くべる,動詞-一般
28238,葬り去る,葬り去る,ほうむりさる,動詞-一般
28238,勤まる,務まる,つとまる,動詞-一般
28238,砕け散る,#N/D,,動詞-一般
28238,早道,早道,はやみち,名詞-普通名詞-一般
28238,無下,無下,むげ,名詞-普通名詞-形状詞可能
28238,テーブルクロス,テーブルクロス,てーぶるくろす,名詞-普通名詞-一般
28238,重態,重態,じゅうたい,名詞-普通名詞-一般
28238,隠し持つ,隠し持つ,かくしもつ,動詞-一般
28238,洋品,洋品,ようひん,名詞-普通名詞-一般
28238,貸家,貸家,かしや,名詞-普通名詞-一般
28238,手分け,手分け,てわけ,名詞-普通名詞-サ変可能
28238,両極,両極,りょうきょく,名詞-普通名詞-一般
28238,焦げ茶,こげ茶,こげちゃ,名詞-普通名詞-一般
28238,熱量,熱量,ねつりょう,名詞-普通名詞-一般
28238,度忘れ,ど忘れ,どわすれ,名詞-普通名詞-サ変可能
28238,薄茶,薄茶,うすちゃ,名詞-普通名詞-一般
28238,一助,一助,いちじょ,名詞-普通名詞-一般
28238,張り合い,張り合い,はりあい,名詞-普通名詞-一般
28238,産声,産声,うぶごえ,名詞-普通名詞-一般
28238,助け船,助け船,たすけぶね,名詞-普通名詞-一般
28238,衆人,衆人,しゅうじん,名詞-普通名詞-一般
28238,大著,大著,たいちょ,名詞-普通名詞-一般
28238,出水,出水,しゅっすい,名詞-普通名詞-サ変可能
28238,前歴,前歴,ぜんれき,名詞-普通名詞-一般
28238,重々,重々,じゅうじゅう,副詞
28238,芸当,芸当,げいとう,名詞-普通名詞-一般
28238,ストライプ,ストライプ,すとらいぷ,名詞-普通名詞-一般
28238,算用,算用,さんよう,名詞-普通名詞-サ変可能
28238,軋み,きしみ,きしみ,名詞-普通名詞-一般
28238,飯事,ままごと,ままごと,名詞-普通名詞-一般
28238,遠因,遠因,えんいん,名詞-普通名詞-一般
28238,人知,人知,じんち,名詞-普通名詞-一般
28238,賛意,賛意,さんい,名詞-普通名詞-一般
28238,ソレ,それ,それ,名詞-普通名詞-一般
28238,プロポーション,プロポーション,ぷろぽーしょん,名詞-普通名詞-一般
28238,嗜み,たしなみ,たしなみ,名詞-普通名詞-一般
28238,妻帯,妻帯,さいたい,名詞-普通名詞-サ変可能
28238,山積,山積,さんせき,名詞-普通名詞-サ変可能
28238,即断,即断,そくだん,名詞-普通名詞-サ変可能
28238,誤報,誤報,ごほう,名詞-普通名詞-一般
28238,寸分,寸分,すんぶん,名詞-普通名詞-一般
28238,焦げ,焦げ,こげ,名詞-普通名詞-一般
28238,政敵,政敵,せいてき,名詞-普通名詞-一般
28238,両輪,両輪,りょうりん,名詞-普通名詞-一般
28238,捕,捕,ほ,名詞-普通名詞-一般
28238,風説,風説,ふうせつ,名詞-普通名詞-一般
28238,付言,ふげん,ふげん,名詞-普通名詞-サ変可能
28238,榛,半,はん,名詞-普通名詞-一般
28238,初秋,初明,はつあき,名詞-普通名詞-一般
28238,自腹,自腹,じばら,名詞-普通名詞-一般
28238,初詣で,初もうで,はつもうで,名詞-普通名詞-一般
28238,服役,服役,ふくえき,名詞-普通名詞-サ変可能
28238,行楽,行楽,こうらく,名詞-普通名詞-一般
28238,目白,目白,めじろ,名詞-普通名詞-一般
28238,弟分,弟分,おとうとぶん,名詞-普通名詞-一般
28238,後手,後手,ごて,名詞-普通名詞-一般
28238,居丈,居丈,いたけ,名詞-普通名詞-一般
28238,進取,進取,しんしゅ,名詞-普通名詞-一般
28238,近在,近在,きんざい,名詞-普通名詞-一般
28238,諸般,諸般,しょはん,名詞-普通名詞-一般
28238,同家,同家,どうけ,名詞-普通名詞-一般
28238,浪,浪,ろう,接尾辞-名詞的-一般
28238,即物,#N/D,,名詞-普通名詞-一般
28238,尊崇,尊崇,そんすう,名詞-普通名詞-サ変可能
28238,守旧,守旧,しゅきゅう,名詞-普通名詞-一般
28238,終局,終局,しゅうきょく,名詞-普通名詞-一般
28238,東口,東口,ひがしぐち,名詞-普通名詞-一般
28238,虚勢,虚勢,きょせい,名詞-普通名詞-一般
28238,特命,特命,とくめい,名詞-普通名詞-一般
28238,全景,全景,ぜんけい,名詞-普通名詞-一般
28238,心残り,心残り,こころのこり,名詞-普通名詞-形状詞可能
28238,じたばた,ジタバタ,じたばた,副詞
28238,呵責,呵責,かしゃく,名詞-普通名詞-一般
28238,溢血,溢血,いっけつ,名詞-普通名詞-サ変可能
28238,残り物,残り物,のこりもの,名詞-普通名詞-一般
28238,図太い,ずぶとい,ずぶとい,形容詞-一般
28238,舶来,舶来,はくらい,名詞-普通名詞-サ変可能
28238,陣容,陣容,じんよう,名詞-普通名詞-一般
28238,三進,三進,さっち,名詞-普通名詞-一般
28238,罪深い,罪ぶかい,つみぶかい,形容詞-一般
28238,スーパースター,スーパースター,すーぱーすたー,名詞-普通名詞-一般
28238,穀,穀,こく,名詞-普通名詞-一般
28238,レクチャー,レクチャー,れくちゃー,名詞-普通名詞-サ変可能
28238,タンカー,タンカー,たんかー,名詞-普通名詞-一般
28238,がさがさ,ガサガサ,がさがさ,副詞
28238,リベンジ,リベンジ,りべんじ,名詞-普通名詞-サ変可能
28238,神国,神国,しんこく,名詞-普通名詞-一般
28238,金貨,金貨,きんか,名詞-普通名詞-一般
28238,ｔａ,ＴＡ,てぃーえー,名詞-普通名詞-一般
28238,門内,門内,もんない,名詞-普通名詞-一般
28238,金縛り,金縛り,かなしばり,名詞-普通名詞-一般
28238,神々しい,神々しい,こうごうしい,形容詞-一般
28238,溜まり場,溜まり場,たまりば,名詞-普通名詞-一般
28238,誰彼,誰彼,だれかれ,名詞-普通名詞-一般
28238,天日,#N/D,,名詞-普通名詞-一般
28238,抜き差し,抜き差し,ぬきさし,名詞-普通名詞-一般
28238,断トツ,ダントツ,だんとつ,名詞-普通名詞-一般
28238,花盛り,花盛り,はなざかり,名詞-普通名詞-一般
28238,殴打,殴打,おうだ,名詞-普通名詞-サ変可能
28238,漏,漏,ろう,名詞-普通名詞-一般
28238,台車,台車,だいしゃ,名詞-普通名詞-一般
28238,特需,特需,とくじゅ,名詞-普通名詞-一般
28238,戌,犬,いぬ,名詞-普通名詞-一般
28238,生え際,生え際,はえぎわ,名詞-普通名詞-一般
28238,弔い,弔い,とむらい,名詞-普通名詞-一般
28238,強欲,強欲,ごうよく,名詞-普通名詞-形状詞可能
28238,ガロン,ガロン,がろん,接尾辞-名詞的-助数詞
28238,渡し舟,渡し船,わたしぶね,名詞-普通名詞-一般
28238,変梃,ヘンテコ,へんてこ,形状詞-一般
28238,絞首,絞首,こうしゅ,名詞-普通名詞-一般
28238,神木,神木,しんぼく,名詞-普通名詞-一般
28238,左官,左官,さかん,名詞-普通名詞-一般
28238,堰堤,堰堤,えんてい,名詞-普通名詞-一般
28238,未詳,未詳,みしょう,名詞-普通名詞-一般
28238,高率,高率,こうりつ,名詞-普通名詞-形状詞可能
28238,場末,場末,ばすえ,名詞-普通名詞-一般
28238,大役,大役,たいやく,名詞-普通名詞-一般
28238,がつがつ,ガツガツ,がつがつ,副詞
28238,喚声,喚声,かんせい,名詞-普通名詞-一般
28238,贈答,贈答,ぞうとう,名詞-普通名詞-サ変可能
28238,突風,突風,とっぷう,名詞-普通名詞-一般
28238,大石,#N/D,,名詞-普通名詞-一般
28238,悔恨,悔恨,かいこん,名詞-普通名詞-一般
28238,コスモ,コスモ,こすも,名詞-普通名詞-一般
28238,リーガー,リーガー,りーがー,名詞-普通名詞-一般
28238,画用,#N/D,,名詞-普通名詞-一般
28238,公館,公館,こうかん,名詞-普通名詞-一般
28238,性感,性感,せいかん,名詞-普通名詞-一般
28238,唐土,唐土,とうど,名詞-普通名詞-一般
28238,比丘尼,比丘尼,びくに,名詞-普通名詞-一般
28238,しょっぱい,しょっぱい,しょっぱい,形容詞-一般
28238,水差し,水差し,みずさし,名詞-普通名詞-一般
28238,出獄,出獄,しゅつごく,名詞-普通名詞-サ変可能
28238,酩酊,めいてい,めいてい,名詞-普通名詞-サ変可能
28238,補注,補注,ほちゅう,名詞-普通名詞-一般
28238,蟇,ヒキガエル,ひきがえる,名詞-普通名詞-一般
28238,毬,いが,いが,名詞-普通名詞-一般
28238,脚立,脚立,きゃたつ,名詞-普通名詞-一般
28238,黄土,黄土,こうど,名詞-普通名詞-一般
28238,質感,質感,しつかん,名詞-普通名詞-一般
28238,レーサー,レーサー,れーさー,名詞-普通名詞-一般
28238,演目,演目,えんもく,名詞-普通名詞-一般
28238,レトルト,レトルト,れとると,名詞-普通名詞-一般
28238,ちびちび,ちびちび,ちびちび,副詞
28238,得票,得票,とくひょう,名詞-普通名詞-サ変可能
28238,喜捨,喜捨,きしゃ,名詞-普通名詞-サ変可能
28238,不承,不承,ふしょう,名詞-普通名詞-サ変可能
28238,諦念,諦念,ていねん,名詞-普通名詞-一般
28238,スロットル,スロットル,すろっとる,名詞-普通名詞-一般
28238,自棄糞,やけくそ,やけくそ,名詞-普通名詞-一般
28238,シーフード,シーフード,しーふーど,名詞-普通名詞-一般
28238,印字,印字,いんじ,名詞-普通名詞-サ変可能
28238,黄身,気味,きみ,名詞-普通名詞-一般
28238,鋭利,鋭利,えいり,名詞-普通名詞-形状詞可能
28238,五穀,五穀,ごこく,名詞-普通名詞-一般
28238,父系,父系,ふけい,名詞-普通名詞-一般
28238,編曲,編曲,へんきょく,名詞-普通名詞-サ変可能
28238,蛭,昼,ひる,名詞-普通名詞-一般
28238,船縁,船べり,ふなべり,名詞-普通名詞-一般
28238,むずむず,ムズムズ,むずむず,副詞
28238,板敷,板敷き,いたじき,名詞-普通名詞-一般
28238,偽証,偽証,ぎしょう,名詞-普通名詞-サ変可能
28238,査証,査証,さしょう,名詞-普通名詞-サ変可能
28238,斟酌,しんしゃく,しんしゃく,名詞-普通名詞-サ変可能
28238,無神,無神,むしん,名詞-普通名詞-一般
28238,ぬっと,ぬっと,ぬっと,副詞
28238,土堤,#N/D,,名詞-普通名詞-一般
28238,思い過ごし,思い過ごし,おもいすごし,名詞-普通名詞-一般
28238,プレハブ,プレハブ,ぷれはぶ,名詞-普通名詞-一般
28238,証文,証文,しょうもん,名詞-普通名詞-一般
28238,流人,流人,るにん,名詞-普通名詞-一般
28238,カートリッジ,カートリッジ,かーとりっじ,名詞-普通名詞-一般
28238,計略,計略,けいりゃく,名詞-普通名詞-一般
28238,幻灯,幻灯,げんとう,名詞-普通名詞-一般
28238,朽ち木,朽木,くちき,名詞-普通名詞-一般
28238,ゴーグル,ゴーグル,ごーぐる,名詞-普通名詞-一般
28238,尿素,尿素,にょうそ,名詞-普通名詞-一般
28238,昵懇,＊,じっこん,名詞-普通名詞-形状詞可能
28238,骸骨,骸骨,がいこつ,名詞-普通名詞-一般
28238,頬骨,ほお骨,ほおぼね,名詞-普通名詞-一般
28238,国法,国法,こくほう,名詞-普通名詞-一般
28238,コントローラー,コントローラー,こんとろーらー,名詞-普通名詞-一般
28238,南岸,南岸,なんがん,名詞-普通名詞-一般
28238,高音,高値,たかね,名詞-普通名詞-一般
28238,乗り合い,乗り合い,のりあい,名詞-普通名詞-一般
28238,通牒,通牒,つうちょう,名詞-普通名詞-サ変可能
28238,葺き,ふき,ふき,接尾辞-名詞的-一般
28238,蓄音,#N/D,,名詞-普通名詞-一般
28238,間欠,間欠,かんけつ,名詞-普通名詞-一般
28238,レコーディング,レコーディング,れこーでぃんぐ,名詞-普通名詞-サ変可能
28238,ティーンエージャー,ティーンエージャー,てぃーんえーじゃー,名詞-普通名詞-一般
28238,入山,入山,にゅうざん,名詞-普通名詞-サ変可能
28238,砂鉄,砂鉄,さてつ,名詞-普通名詞-一般
28238,七草,七草,ななくさ,名詞-普通名詞-一般
28238,逢い引き,合いびき,あいびき,名詞-普通名詞-一般
28238,おしゃぶり,おしゃぶり,おしゃぶり,名詞-普通名詞-一般
28238,真影,真影,しんえい,名詞-普通名詞-一般
28238,文楽,文楽,ぶんらく,名詞-普通名詞-一般
28238,切れ込み,切れ込み,きれこみ,名詞-普通名詞-一般
28238,破風,破風,はふ,名詞-普通名詞-一般
28238,誤用,誤用,ごよう,名詞-普通名詞-サ変可能
28238,庸,よう,よう,名詞-普通名詞-一般
28238,ミニマム,ミニマム,みにまむ,名詞-普通名詞-一般
28238,河岸,菓子,かし,名詞-普通名詞-一般
28238,鵞鳥,ガチョウ,がちょう,名詞-普通名詞-一般
28238,鉄器,鉄器,てっき,名詞-普通名詞-一般
28238,標示,標示,ひょうじ,名詞-普通名詞-サ変可能
28238,温水,温水,おんすい,名詞-普通名詞-一般
28238,導師,導師,どうし,名詞-普通名詞-一般
28238,死に顔,死に顔,しにがお,名詞-普通名詞-一般
28238,横糸,横糸,よこいと,名詞-普通名詞-一般
28238,アーメン,アーメン,あーめん,名詞-普通名詞-一般
